catid,codec,description
8,12BC,B級/LONDON BT(A1-A8)
8,12BH,B+級/SWISS BT
8,12BK,B級/SKY BT(A2-A5)
8,12BR,B+級/LONDON BT
8,12BT,B級/BABY SWISS(A7-A10)
8,12BV,B級/SWISS BT(A11-A14)
8,12BX,B級/Top Sky Blue Topaz (A7-A9)
8,12C1,A級/BABY SWISS(A7-A9)
8,12C3,A級/SWISS BT(A11-A14)
8,12C6,A級/LONDON BT(A9-A12)
8,12C8,A級/SKY BT(A5-A8)
8,12CA,2A LONDON BT(A1-A3)
8,12CC,A級/倫敦水蘭(A5-A9)
8,12D1,B級/SKY BT(A5-A8)
8,12D3,B級/深色水藍(A10-A12)
8,12D5,B級/LONDON BT(A6-A10)
8,13A0,A級/非洲紫晶(A8-A12)
8,13A2,A級/非洲紫晶(A11-A14)
8,13A8,A級/非洲紫晶(A9-A12)
8,13AA,A級/非洲紫晶(A8-A11)
8,13AD,A級/非洲紫晶(B1-B12)
8,13AF,A級/非洲紫晶(B1-B7)
8,13AH,A級/非洲紫晶(A8-A14)
8,13AK,A級/非洲紫晶(B3-B5)
8,13AN,A級/非洲紫晶(A14-A17)
8,13AQ,A級/非洲紫晶(A15-A17)
8,13AS,A級/非洲紫晶(A12-A15)
8,13B0,B級/非洲紫晶(B1-B12)
8,13B5,B級/非洲紫晶(串珠)
8,13B9,B級/非洲紫晶(B1-B10)
8,13BB,B級/非洲紫晶(B9-B11)
8,13BD,B級/非洲紫晶(A8-A14)
8,13BF,B級/非洲紫晶(B1-B4)
8,13BH,B級/非洲紫晶(B3-B7)
8,13BK,B級/非洲紫晶(A11-A14)
8,13BM,B級/非洲紫晶(B5-B8)
8,13BP,B級/南非紫晶(B6-B8)
8,13C0,C級/C0非洲紫晶
8,14A0,A級/石榴石(M4-M6)
8,14A2,A級/石榴石(M3-M5)
8,14AB,A級/石榴石(M1-M6)
8,14AD,A級/石榴石(M4-M5)
8,14AF,A級/石榴石(T1-T3)
8,12CD,A級/深色水藍(A3-A6)
8,12D2,B級/TOP SKY BLUE TOPAZ(A5-A9)
8,12D4,B級/LONDON BT(A6-A12)
8,12PM,促銷產品用石
8,13A1,A級/非洲紫晶(A8-A10)
8,13A4,A級/非洲紫晶(A1-A8)
8,13A9,A級/非洲紫晶 (B1-B10)
8,13AC,A級/非洲紫晶(A9-A11)
8,13AE,A級/非洲紫晶(A5-A9)
8,13AG,A級/非洲紫晶(A13-A17)
8,13AJ,A級/非洲紫晶(A10-A12)
8,13AM,A級/非洲紫晶(A7-A9)
8,13AP,A級/非洲紫晶(A16-A17)
8,13AR,A級/南非紫晶(B2-B6)
8,13AT,2A 南非紫晶(A15-A17)
8,13B1,B級/非洲紫晶(B8-B10)
8,13B8,B+級/非洲紫晶(A8-A14)
8,13BA,B級/非洲紫晶(爆花)CRACKLED AMETHYST
8,13BC,B級/非洲紫晶(B8-B11)
8,13BE,B級/非洲紫晶(A10-A12)
8,13BG,B級/非洲非紫晶(B3-B5)
8,13BJ,B級/非洲紫晶(B8-B13)
8,13BL,B級/非洲紫晶(B2-B5)
8,13BN,B級/南非紫晶(B2-B6)
8,13BQ,B級/南非紫晶(A12-A15)
8,13PM,促銷產品用石
8,14A1,A級/玫瑰紅石榴石(M1-M3)
8,14A3,A級/莫桑比克石榴石
8,14AC,A級/石榴石(M1-M5)
8,14AE,A級/石榴石(M5-M6)(C車間專用)
8,14AG,A級/石榴石(M2-M6)
8,14AJ,A級/玫瑰紅石榴石(M3-M5)
8,14AL,A級/石榴石(M1-M4)
8,14B0,B級/石榴石(T1-T4)
8,14B2,B級/石榴石(T1-T3)
8,14BB,B+級/石榴石(M1-M5)
8,14BD,B級/綠色石榴石
8,14BF,B級/石榴石(M1-M5)
8,14BH,B級/石榴石(M4-M5)
8,14BK,B級/石榴石(M1-M4)
8,14BM,B級/石榴石(T1-T6)
8,14BP,B級/石榴石(M4-M6)
8,14PM,促銷產品用石
8,14AH,A級/莫桑比克石榴石 I1-I3
8,14AK,2A 石榴石(T1-T3)
8,14AM,A級/石榴石(HNJ)
8,14B1,B級/玫瑰紅石榴石 RHODOLITE (M1-M3)
8,14B3,B級/莫桑比克石榴石
8,14BC,B+級/石榴石(STEPHEN TUNG)
8,14BE,B級/桂榴石
8,14BG,B級/石榴石(M5-M6)(C車間專用)
8,14BJ,B級/石榴石(M3-M5)
8,14BL,B級/石榴石(M1-M6)
8,14BN,B級/莫桑比克石榴石 I1-I3
8,14BQ,B級/石榴石(M2-M6)
8,15A0,A級/黃水晶(A7-A9)
8,15A2,A級/黃水晶(A8-A10)
8,15A6,A級/MADERA CITRIN
8,15AA,A級/黃水晶(A8-A13)
8,15AE,A級/黃水晶(A8-A9)
8,15AG,A級/黃水晶(A3-A7)
8,15B1,B級/深色黃水晶(BOX.A11-A13)
8,15B4,B級/黃水晶 (A9-A11)
8,15BA,B級/MADEIRA CITRINE
8,15BC,B級/黃水晶(A5-A7)
8,15BF,B級/黃水晶(A2-A7)
8,15BH,B級/黃水晶(A8-A9)
8,16A0,A級/橄欖石
8,16A6,A級/橄欖石(A1-A4)
8,16B0,B級/橄欖石
8,16B4,B級/橄欖石(A3-A5)
8,16PM,促銷產品用石
8,17B0,B級/(五種組合)
8,18A1,A級/A1-A7
8,18A4,A級/A3-A6
8,18A7,A級/紅寶(A4-A7)
8,18AE,A級/印度紅寶 A1-A7 董先生訂單
8,18AG,A級/非洲紅寶(A3-A6)
8,18AJ,A級/泰國紅寶(A3-A4)
8,18AL,A級/泰國紅寶(A4)
8,18AN,A級/天然紅寶(A4)
8,18B2,B級/B1-B4
8,18B4,B級/B3-B6
8,18B8,B級/染色紅寶
8,18BD,B級/非洲紅寶
8,18BH,B級/印度紅寶 #8-#10
8,18BK,B級/泰國紅寶(B2-B3)
8,18BM,B級/泰國紅寶(B3-B5)
8,18BP,B級/泰國紅寶(B4)
8,15A1,A級/深色黃水晶(BOX.A11-A13)
8,15A3,A級/黃水晶(A5-A7)
8,15A8,A級/黃水晶(A9-A11)
8,15AD,A級/黃水晶(A5-A7)
8,15AF,A級/MADEIRA CITRINE(A10-A13)
8,15B0,B級/黃水晶(A3-A7)
8,15B2,B級/黃水晶(A8-A10)
8,15B5,B級/黃水晶 (A7-A9)
8,15BB,B級/黃水晶(A3-A5)
8,15BE,B+級/黃水晶(A7-A9)
8,15BG,B級/MADEIRA CITRINE(A10-A13)
8,15PM,促銷產品用石
8,16A5,A級/橄欖石(A3-A5)
8,16A7,2A 橄欖石
8,16B2,B+級/橄欖石
8,16B5,B級/橄欖石(A1-A4)
8,17A0,A級/(五種組合)
8,17PM,促銷產品
8,18A2,A級/A1-A4
8,18A5,A級/A4-A7
8,18AC,A級/紅寶(C車間專用)
8,18AF,A級/MOZAMBIQUE RUBY(ZALES)
8,18AH,A級/泰國紅寶(A2-A3)
8,18AK,A級/泰國紅寶(A4-A5)
8,18AM,A級/泰國紅寶(A4-A6)
8,18B1,B級/B1-B7
8,18B3,B級/B2-B5
8,18B5,B級/B4-B7
8,18BB,B級/RUBY(B1-B6)
8,18BF,B級/RUBY(B3-B6)董先生訂單
8,18BJ,B級/非洲紅寶 #7-#9
8,18BL,B級/泰國紅寶(B3-B4)
8,18BN,B級/泰國紅寶(B4-B5)
8,18BQ,B級/泰國紅寶(B4-B6)
8,22B0,B級/混合假石
8,25A6,A級/SIGNITY Arctic Blue CZ(鐳射字印)
8,25A9,A級/SIGNITY ARCTIC BLUE
8,26C4,B級/TURQUOISE PEARL 綠色
8,26E3,B級/AL04玻璃珍珠
8,29B1,B級/DEMIN LAPIS 青金白花
8,34A6,A級/中國土耳其石(藍色少紋)
8,34B0,B級/中國土耳其石(藍色有紋)
8,34B2,B級/中國土耳其石(藍色無紋)
8,35BE,B級/S/C 1PT US$80/CT WHITE
8,18BR,B級/天然紅寶(B4)
8,18C0,C級/C0紅寶
8,18C1,C級/印度紅寶
8,18C2,C級/非洲紅寶
8,18PM,促銷產品用石
8,19A1,A級/A1-A16
8,19A3,A級/A1-A5
8,19AC,A級/白藍寶
8,19AD,A級/粉紅藍寶
8,19AE,A級/桔紅藍寶
8,19AH,A級/董先生訂單 SAPPHIRE($10/CT)
8,19AK,A級/SAPPHIRE A1-A4
8,19AL,A級/A5-A10
8,19AP,A級/C1藍寶
8,19AQ,A級/KANCHANABURI SAPPHIRE(ZALES)
8,19AR,A級/混合色藍寶(Mix color)
8,19AS,A級/藍寶(B2-B5)
8,19AT,A級/藍寶(B2-B4)
8,19AU,A級/黑藍寶(C5-C7)
8,19AV,A級/黑藍寶(HNJ)
8,19B0,B級/黑藍寶
8,19B1,B級/B1-B10
8,19B2,B級/B1-B5
8,19B6,B級/白藍寶
8,19B7,B級/粉紅藍寶
8,19B8,B級/桔紅藍寶
8,19BD,B級/藍寶B1-B6
8,19BG,B級/藍寶B4-B7
8,19BH,B+級/SAPPHIRT  董先生訂單$4.5/ct(B4-B8)
8,19BL,B級/藍寶B1-B3
8,19C0,C級/C0藍寶
8,19C1,C級/C1-C10
8,19PM,促銷產品用石
8,20A1,A級/A1-A8
8,20A4,A級/A3-A7
8,20AC,A級/EMERALD(ZALES)
8,20B1,B級/B1-B12
8,20B2,B級/B1-B5
8,20B3,B級/B3-B7
8,20B6,B級/B8-B12
8,20BA,B級/B1-B7
8,20BB,B級/EMERALD(B2-B5)
8,20BD,B+級/董先生訂單$7.6/CT，B4-B7
8,20BF,B級/EMERALD(B5-B8)
8,20BG,B級/EMERALD(B1-B6)
8,20C0,C級/C0綠寶
8,20C1,INDIAN EMERALD(PM)
8,20PM,促銷產品用石
8,21A0,A級/混合CZ
8,21B0,B級/混合CZ
8,23A0,A級/巴西紫晶(A1-A3)
8,23A1,A級/巴西紫晶(A4-A7)
8,23A4,A級/巴西紫晶(A4-A8)
8,23A5,A級/巴西紫晶(A2-A4)
8,23A6,A級/巴西紫晶(A3-A9)
8,23A7,A級/巴西紫晶(A5-A7)
8,23B0,B級/巴西紫晶(A1-A3)
8,23B1,B級/巴西紫晶(A4-A7)
8,23B2,B+級/巴西紫晶(A3-A7)
8,23B4,B級/巴西紫晶(A2-A4)
8,23B5,B級/巴西紫晶(A3-A6)
8,23B6,B級/巴西紫晶(A2-A6)
8,23C0,C級/巴西紫晶
8,23PM,促銷產品
8,24A3,A級/#1深紫藍色(手切)
8,24A4,A級/#2中紫藍色(手切)
8,24A5,A級/#1深紫紅(手切)
8,24A6,A級/#2中紫紅(手切)
8,24A7,A級/SIGNITY AMETHYST CZ(鐳射字印)
8,24A9,A級/#3淺紫紅CZ(手切)
8,24AC,A級/2#紫藍CZ  3A
8,24AD,A級/紫藍CZ(B3-B6)
8,24AE,A級/#3紫紅CZ(B4-B6)  3A
8,24AF,A級/紫藍CZ(B5-B7)
8,24AG,A級/紫藍CZ(B3-B5)
8,24AH,A級/紫藍CZ(B2-B4)
8,24AJ,A級/紫紅CZ(B3-B5)
8,24AK,A級/紫紅CZ(B2-B4)  3A
8,24AL,A級/紫紅CZ(B1-B3)  3A
8,24B0,B級/#1紫藍色(B1-B4)
8,24B1,B級/#2中紫藍色
8,24B2,B級/#1深紫紅
8,24B3,B級/#2中紫紅
8,24B4,B級/#3淺紫紅CZ
8,24B5,B級/紫藍CZ(B5-B7)
8,24B6,B級/紫藍CZ(B3-B5)
8,24B7,B級/紫藍CZ(B2-B4)
8,24B8,B級/紫藍CZ(B3-B6)
8,24B9,B級/紫紅CZ(B2-B5)
8,25A1,A級/深藍CZ(手切)
8,25A2,A級/中色CZ(手切)
8,25A3,A級/LUXGEM MEDIUM BLUE CZ
8,25A4,A級/#1BLUE CZ(B1-B4)
8,25A5,A級/#2BLUE CZ(B4-B6)
8,25A8,A級/SIGNITY PLEXI BLUE
8,25AD,A級/A0 BLUE CZ
8,25AE,A級/3A BLUE CZ
8,25AF,A級/SIGNITY Fancy Blue CZ (鐳射字印)
8,25AG,A級/BLUE CZ(B4-B6)MACHINE CUT
8,25AH,A級/3A BLUE CZ(B1-B3)
8,25AJ,A級/SIGNITY FANCY BLUE CZ
8,25AK,A級/BLUE CZ (B2-B5)
8,25AL,A級/HY BLUE CZ
8,25AM,A級/BLUE CZ(B3-B6)
8,25AN,A級/3A BLUE CZ(B3-B5)
8,25AP,A級/3A BLUE CZ(B3-B6)
8,25AQ,A級/3A BLUE CZ(B1-B4)
8,25AR,A級/BLUE CZ(B3-B5)
8,25AS,A級/BLUE CZ(B2-B4)
8,25AT,A級/BLUE CZ(B1-B3)
8,25AU,A級/3A BLUE CZ(B4-B6)
8,25AV,A級/#30藍CZ(HNJ)
8,25AW,A級/#38藍CZ(HNJ)
8,25B0,B級/深藍CZ
8,25B1,B級/中色CZ
8,25B3,B級/BLUE SAPPHIRE CZ(MEDIUM)
8,25B4,B級/BLUE SAPPHIRE CZ (LIGHT)
8,25B8,B級/#1BLUE CZ(B1-B4)
8,25B9,B級/#2BLUE CZ(B4-B6)
8,25BA,B級/#3水藍色CZ(鑫廣進)
8,25BF,B級/BLUE CZ(B2-B5)
8,25BG,B級/BLUE CZ(B3-B6)
8,25BH,B級/BLUE CZ(B3-B5)
8,25BJ,B級/BLUE CZ(B2-B4)
8,25BK,B級/BLUE CZ(B1-B3)
8,25BL,B級/BLUE CZ(B1-B6)
8,26A0,A級/GP01  白色單色(WGA101)
8,26AE,A級/GP22
8,26B0,B級/GP01白色單色(WGA101)
8,26B2,B級/GP03
8,26B3,B級/GP04白五彩
8,26B4,B級/GP05黑五彩
8,26B5,B級/GP06
8,26BA,B級/GP11
8,26BD,B級/GP19
8,26BE,B級/GP22
8,26BU,B級/GP41淺黑膽色
8,26BX,B級/GP44淺黃色
8,26C2,B級/Swarovski Crystal White Pearl #001 650
8,26C3,B級/RED PEARL 暗紅
8,26C5,B級/GREY PEARL 灰色
8,26C6,B級/PURPLE PEARL 紫色
8,26C7,B級/LVORY PEARL 白色
8,26C8,B級/AQUA PEARL 藍色
8,26C9,B級/VINTAGE 香檳色
8,26CA,B級/PINK PEARL 粉紅色
8,26CB,B級/Ivory gold pearl GA116(象牙黃)
8,26CC,B級/WGA161  米黃
8,26CD,B級/WGA215
8,26CE,B級/WGA807
8,26CF,B級/WGA208
8,26CG,B級/WGE401
8,26CH,B級/WA401 粉紅色
8,26CJ,B級/GR303
8,26CK,B級/GA401
8,26CL,B級/GA406
8,26CM,B級/GA404
8,26CN,B級/GA505
8,26CP,B級/GE706
8,26CQ,B級/GE603
8,26CR,B級/GR217
8,26CS,B級/GR022
8,26CT,B級/AL02
8,26CU,B級/AL07
8,26CV,B級/AL31
8,26CW,B級/AL65
8,26CX,B級/AL68
8,26CY,B級/AL75
8,26CZ,B級/AL36
8,26D0,Creamrose Light Pearl  001 618 SWAROVSKI
8,26D1,Powder Almond Pearl  001 305  SWAROVSKI
8,26D2,Rosaline Pearl  001 294 SWAROVSKI
8,26D3,Powder Rose Pearl 001 352 SWAROVSKI
8,26D4,Burgundy Pearl  001 301 SWAROVSKI
8,26D5,etrol Pearl  001 600 SWAROVSKI
8,26D6,Tahitian-look Pearl  001 297 SWAROVSKI
8,26D7,Powder Green Pearl  001 393 SWAROVSKI
8,26D8,Platinum Pearl  001 459 SWAROVSKI
8,26D9,Crystal Light Grey Pearl 001 616 SWAROVSKI
8,26DA,A級/人造白色玻璃珍珠(VNL001MHP)(指定DAIGO供應商)
8,26DB,B級/Crystal Cream  Pearl ( 001 620 )SWAROVSKI
8,26E1,B級/AL17玻璃珍珠
8,26E2,B級/AL73玻璃珍珠
8,26E4,B級/AL41玻璃珍珠
8,26E5,B級/AL56玻璃珍珠
8,26E6,B級/AL21玻璃珍珠
8,26E7,B級/AL79玻璃珍珠
8,26E8,B級/AL12玻璃珍珠
8,26E9,B級/AL01玻璃珠珍珠
8,26EA,B級/AL18玻璃珠珍珠
8,26EB,B級/AL23玻璃珍珠
8,26EC,B級/CQ819 銀灰色
8,26ED,B級/CQ801 白色
8,26EE,B級/CQ822 純白色
8,26EF,B級/CQ859
8,26EG,B級/CQ860
8,26EH,B級/CQ820
8,26EJ,B級/CQ857
8,26EK,B級/CQ858
8,26EL,B級/CQ802玻璃珍珠
8,26EM,B級/WGR303玻璃珠
8,26EN,B級/AL43 GLASS PEARL
8,26EP,B級/CQ843
8,26EQ,B級/CQ866
8,26ER,B級/CQ848
8,26ES,B級/CQ855
8,26ET,B級/CQ808
8,26EU,B級/CQ831
8,26EV,B級/CQ869
8,26EW,B級/CQ840
8,26EX,B級/CQ812玻璃珍珠
8,26EY,B級/CQ853玻璃珍珠
8,26EZ,B級/CQ818玻璃珍珠
8,26FA,B級/CQ842玻璃珍珠
8,26FB,B級/CQ841
8,26FC,#001 象牙色玻璃珍珠
8,26FD,B級/CQ878
8,26FE,B級/RB012 白色玻璃珠
8,26FF,B級/CQ863玻璃珠(不加五彩)
8,26FG,B級/#WE110
8,26G0,DV048
8,26G1,DV001
8,27A0,A級/黑瑪瑙
8,27A2,2A 黑瑪瑙
8,27B0,B級/黑瑪瑙
8,27B1,B級/白條紋黑瑪瑙
8,27C0,黑瑪瑙(PM)
8,28A0,A級/HEMATITE
8,28A1,A級/AZOTIC MC-7 PINK HEMATITE
8,28A2,A級/AZOTIC MC-25 BLUE HEMATITE
8,28B0,B級/HEMATITE
8,29A0,A級/青金石
8,29B0,B級/青金石
8,29B2,B級/染色青金石
8,29C0,青金石(PM)
8,30A0,A級/孔雀石
8,30B0,B級/孔雀石
8,31A0,A級/白色蛋白石
8,31A2,A級/PERUVIAN PINK OPAL
8,31A7,A級/粉紅OPAL
8,31A8,A級/蛋白石(帶彩)
8,31A9,A級/澳大利亞 FIRE OPAL
8,31AB,A級/MEXICAN  FIRE  OPAL(ORANGE RED)
8,31AC,A級/GEN ETHIOPIAN OPAL
8,31AD,A級/非洲澳寶
8,31AE,粉色澳寶
8,31B0,B級/白色蛋白石
8,31B5,B-級/粉紅OPAL
8,31B6,B級/蛋白石(帶彩)
8,31B7,B級/澳大利亞 FIRE OPAL
8,31B8,B級/黑水草澳寶
8,31B9,B級/非洲澳寶
8,31BA,B級/GEN ETHIOPIAN OPAL
8,31BB,天然歐泊(奶白色)
8,31C0,C級/C0 PROMOTIONAL PEARL
8,32A0,A級/粉晶
8,32A1,A級/粉晶深色
8,32A2,A級/馬達加斯加粉晶
8,32B0,B級/粉晶
8,32B1,B級/粉晶深色
8,32B3,B級/馬達加斯加粉晶
8,32C0,芙蓉石(PM)
8,33A0,A級/黃虎眼
8,33A1,A級/紅虎眼
8,33A2,A級/藍虎眼
8,33A3,A級/金虎眼
8,33A4,A級/三色虎
8,33A5,染色綠虎眼
8,33A6,染色深藍虎眼
8,33A7,染紫色虎眼
8,33B0,B級/黃虎眼
8,33B1,B級/紅虎眼
8,33B2,B級/藍虎眼
8,33B3,B級/金虎金石
8,33B4,B級/三色虎
8,33C0,虎睛石(PM)
8,34A0,A級/中國土耳其石(藍色有紋)
8,34A1,A級/中國土耳其石(黃綠色有紋)
8,34A2,A級/中國土耳其石(藍色無紋)
8,34A4,A級/美國無紋松石
8,34A5,A級/SLEEPING BEAUTY TURQUOISE
8,34B9,B級/黃蜂石
8,34A7,A級/非洲有紋松石
8,34B1,B級/中國土耳其石(黃綠色有紋)
8,34B4,B級/中國土耳其石(藍+黃綠色有紋)
8,3566,Z407 S/C 2PT US$195/CT IJ/I2-I3
8,3574,A級/F/C 8-14PT U$600/CT GH/SI2-SI3
8,3576,"A級/WHITE DIA F/C(COLOUR:G--H,QUALITY:SI--2)"
8,3584,F/C 0.5-1PT US$ 575/CT HI SI2
8,3586,F/C 0.5-2PT US$615/CT HI/SI1-SI2
8,3587,F/C 0.5-2.5PT US$540/CT HI/SI2-SI3
8,3589,F/C 3-7PT US$550/CT HI SI2-SI3
8,3590,F/C 5-7PT US$550 H-I/I1-I2
8,3591,F/C 0.5-2PT US$420/CT H-I/I2-I3
8,3595,F/C 2.5-7PT US$575/CT GH/SI2-SI3
8,3597,"F/C 0.3PT,0.5-2PT US$565/CT GH/SI2-SI3"
8,3598,F/C 0.5-2PT US$585/CT IJ/SI1-SI2
8,35A2,F/C 0.5-2PT US$150/CT WHITE
8,35A3,F/C 3-5PT US$150/CT WHITE
8,35AK,A級/F/C 0.5─10PT US$400/CT WHITE
8,35AN,A級/F/C 1-5PT US$ 120/CT WHITE
8,35AR,A級/F/C 0.5-5PT U$260/CT WHITE
8,35AY,F/C 2-4PT US$495/CT H-I/I1-I2
8,35AZ,F/C 0.5-1.5PT US$445/CT H-I/I1-I2
8,35B0,B級/R/C 0.5PT US$ 50/CT WHITE
8,35B1,B級/R/C 1PT US$ 50/CT WHITE
8,35B2,"S/C 0.3PT,0.5-1PT US$75/CT WHITE"
8,35B3,B級/S/C 1PT US$ 90/CT WHITE
8,35B4,B級/S/C 0.5PT US$ 130/CT WHITE
8,35B5,B級/S/C 1-2PT US$ 130/CT WHITE
8,35B6,"B級/S/C 0.3PT,0.5-1.5PT US$65/CT WHITE"
8,35B7,S/C     2.0PT   US$ 160/CT  WHITE
8,35B8,B級/S/C 1.0PT US$ 60/CT WHITE
8,35BA,B級/F/C 3.0PT US$ 200/CT WHITE
8,35BC,B級/S/C 0.5-1PT US$90/CT  K/I3
8,35BD,S/C  0.3PT，0.5PT-1PT US$60/CT WHITE
8,45A9,A級/灰色淡水養珠
8,35BF,B級/S/C 1-2PT US$100/CT LIGHT BROWN
8,35DP,F/C  PK/I1-I2  USD$150/CT
8,35ZB,ZN408 S/C 2PT I-J/I2-I3-(minus) US$200/CT
8,37A8,A級/LUXGEM MEDIUM CHAMPAGNE  CZ
8,39CD,A級/SYNTHETIC FRUIT COLOR OPAL #56
8,41A1,A級/#2石榴色CZ(B3-B6)
8,45A8,A級/香檳色淡水養珠
8,45AA,"A級/白色淡水珍珠(HSN,PO1,P11,QVC)"
8,45AB,A級/白色淡水珍珠(H13、H15、H16客戶專用)
8,45AC,A級/孔雀色淡水珠
8,45AE,A級/DYED CHOCOLATE FRESH WATER PEARL
8,45AG,A級/藍色淡水養珠
8,45AH,A級/天然淺粉紅色淡水養珠(有螺紋)
8,45AJ,A級/白色淡水養珠     指定廠商(HENGMEI)
8,45AK,A級/黑色淡水養珠     指定廠商(HENGMEI)
8,45AL,A級/深綠色淡水珠  指定廠商(HENGMEI)
8,45AM,A級/天然淺紫淡水珍珠(NATURA LIGHT PURPLE WATER PEARL)#2-4
8,45AN,A級/白色淡水養珠  指定廠商(SHINGHING)
8,45AP,A級/天然粉色淡水珍珠(NATURAL PINK FRESH WATER PEARL) 加拿大
8,45AQ,A級/白色淡水養珠  指定廠商(HONORA)
8,45AR,A級/染粉色淡水養珠  指定廠商(HONORA)
8,45AS,A級/染藍色淡水養珠  指定廠商(HONORA)
8,45AT,A級/白色淡水珍珠 #1-#5
8,45AU,A級/BT/CL/G/GW/HD/BLACK淡水養珠 指定廠商(HONORA)
8,45AV,A級/染黑色淡水珍珠
8,45AW,A級/天然橘色淡水珍珠(PEACHY COLOR)
8,45AX,A級/天然粉色淡水珍珠(NATURAL PINK FRESH WATER PEARL) #1-#5
8,45B1,B級/黑色
8,45B2,B級/圓的淡水珠
8,45B3,B級/BIWA白色淡水珠
8,45B4,B級/MABE(馬貝珠)白色淡水珠
8,45B6,B級/紫色
8,45B7,B級/桔色
8,45B8,B級/粉紅色
8,45BB,B級/灰色淡水養珠
8,35BH,S/C 0.5-1.5PT US $180/CT WHITE IJ/I2-I3--
8,35BJ,"S/C 0.3PT,0.5-2PT  US$230/CT I2-I3/H-I"
8,35BK,B級/S/C 0.5PT-1PT US$ 220/CT    I2-I3/IJ
8,35BL,S/C 0.5-1.5PT US$170/CT WHITEK-L/I2-I3
8,35BM,B級/S/C 0.5-0.6PT  US$90/CT  I-J I3-
8,35BN,"S/C  0.3PT,0.5-2PT  US$150/CT  WHITE"
8,35BQ,B級/S/C 0.5-1PT US$70/CT
8,35BR,S/C 0.3PT，0.5PT-1PT US$120/CT WHITE
8,35BT,B級/S/C 2PT ＄90/CT WHITE
8,35BU,B級/S/C 2.5PT ＄180/CT WHITE
8,35BZ,S/C 0.5-1.0PT $140/CT WHITE
8,35CB,F/C 0.5-1PT U$160/CT JK
8,35CH,ZN406 S/C 0.3-0.5PT US$230/CT IJ/I2 W/NAATS
8,35CJ,ZN407  S/C  0.3PT-0.5PT  US$210/CT IJ/I2-I3  W/NAATS
8,35CK,"ZN408 S/C 0.3PT,0.5PT US$185/CT IJ/I2-I3-(minus) W/NAATS"
8,35CN,S/C 0.5-2PT US$320/CT HI/SI2-SI3
8,35CP,F/C 0.5-2.5PT US$415/CT GH/I1-I2
8,35CR,Z407 S/C 0.8-1.5PT US$220/CT I-J/I2-I3
8,35CS,F/C 3-7PT US$480/CT GH /I1-I2
8,35CT,ZN407 S/C 0.8-1.5PT  SIZE MIX WEIGHT US$220/CT IJ/12-13 W/N
8,35CU,Z407 S/C 0.3-0.5PT US$220/CT I-J/I2-I3
8,35CV,S/C 0.5PT H-I/I3 US$195/CT
8,35CX,0.3PT KL/SI1-SI2 US$160/CT
8,35DB,S/C 0.3-0.5PT US$275/CT I-J/I1-I2
8,35DC,S/C 1-2PT US$295/CT I-J/I1-I2
8,35DF,F/C 8-14PT US$595/CT IJ/SI1-SI2
8,35DG,Z508 S/C 0.5-1PT U$150/CT JK/I2-I3-(MINUS)
8,35DH,F/C 0.5-2PT US$285/CT HI/I2
8,35DJ,S/C 0.8-2PT  US $140/CT WHITE
8,35DK,S/C IJ/I1-I2 US $350/CT  0.6PT
8,35DL,S/C 2PT $180/CT IJ/PK
8,35DM,F/C 10PT U$510/CT IJ/I2-I3
8,35FD,F/C H/I1-I2
8,35EU,"ZN408 S/C 0.3PT,0.5-1PT US$165/CT IJ/I2-I3-(minus) W/NAATS Piecring pagoda (H15客戶專用)"
8,35EV,F/C 2.5-7PT US$390/CT HI/P1
8,35EW,F/C 1-2PT US$350/CT IJ/I1-I2
8,35F1,S/C  I/SI  White Diamond
8,35F2,S/C   I/I1  White Diamond
8,35F3,S/C  I/I1-  White Diamond
8,35F4,S/C   I/I2  White Diamond
8,35F5,S/C  I/I2-  White Diamond
8,35F6,S/C   J/I1  White Diamond
8,35F7,S/C  J/I1- White Diamond
8,35F8,S/C  J/I2  White Diamond
8,35F9,S/C  J/I2- White Diamond
8,35FA,F/C 2-5PT US$150/CT WHITE
8,35FB,S/C  K/I3  White Diamond
8,35FC,S/C  J/I3  White Diamond
8,35FE,F/C IJ/PK
8,35FF,F/C  IJ  I2-I3
8,35FG,F/C  IJ  I3-I3-
8,35FH,F/C H/I2-I3
8,35FJ,F/C IJ/I1-I2
8,35FK,F/C IJ/I2-I3
8,35FL,F/C I/SI1-SI2 (TTLB)
8,35FM,F/C I/I1-I2 (TTLB)
8,35J1,S/C 1-1.5PT US$110/CT J-K I3
8,35LA,WM S/C 0.5-1.5PT US$90/CT K-L/I3
8,35NA,S/C 0.3-1.5PT US$110/CT I/I3
8,35PA,"Z408 S/C 0.3PT,0.5PT I-J/I2-I3-(minus) US$210/CT"
8,35QA,S/C 0.5-0.6PT MIX PARCEL US$100/CT J-K/I3
8,35TA,F/C 0.5-2PT US$150/CT  I-J
8,35XA,S/C 0.5-1.5PT US$130/CT WHITE
8,35XX,(購石待定)
8,35Z1,F/C  0.5-2PT  US$410/CT  I-J/I2 -I3
8,35Z2,F/C 3-5PT US$440/CT I-J/I2-I3
8,35Z3,S/C 2-2.5PT US$150/CT
8,35Z5,ZN408 S/C  1-1.5PT US$190/CT IJ/I2-I3-- (minus)W/N
8,35Z6,F/C 2.5-7PT US $445/CT I-J/I1-I2
8,35Z7,Z408 S/C1-1.5PTUS$210/CT I-J/I2-I3--(minus)
8,35ZH,F/C  0.5-2PT  US$390/CT  IJ/I2  Z406
